Timestamp,What is your favorite Driver?,What is your favorite Midrange?,What is your favorite Putter?
10/26/2020 19:02:45,Innova Leopard3,Dynamic Discs EMac Truth,Westside Harp
10/26/2020 19:03:52,Discmania FD,Göte,Link
10/26/2020 19:04:14,Innova Valkyrie,Mcpro Glo Roc,Innova Stud
10/26/2020 19:05:46,Innova Leopard,"Truth, by Westside",Gateway Wizard all day
10/26/2020 19:12:29,Innova Sidewinder,Dynamic Discs Verdict,Kastaplast Reko
10/26/2020 19:18:06,Innova Sidewinder,Z buzzz,Jawbreaker roach
10/26/2020 19:18:15,Innova Destroyer,Fuse,Deputy
10/26/2020 19:19:21,Innova Destroyer,Innova gator,Kastaplas reko
10/26/2020 19:28:37,Innova Destroyer,Compass,Pa1
10/26/2020 19:29:21,MVP Mayhem,Matrix,Envy driving atom putting
10/26/2020 19:30:46,Innova Xcaliber,Innova Champion Roc3,Innova Star Aviarx3
10/26/2020 19:34:33,Innova Mamba,Discraft Buzzz,"Oddly, Innova Valkyrie"
10/26/2020 19:37:21,Kastaplast Lots,Kastaplast k2 kaxe,Kastaplast k2 berg
10/26/2020 19:37:37,Discmania FD,Discraft Wasp,Kastaplast Berg
10/26/2020 19:38:10,Innova Thunderbird,Discraft Buzz,Dynamic Disc Warden
10/26/2020 19:38:11,Discraft Nuke SS,Buzzz,Banger
10/26/2020 19:45:44,Dynamic Discs Trespass,Discraft Comet,Prodigy P-Model S
10/26/2020 19:45:51,Innova Destroyer,Roc,Aviar
10/26/2020 19:47:28,Prodigy D3 500,m3 and m4,Pa 3 and P model S Duraflex
10/26/2020 19:51:20,Innova Colossus,Axiom Pyro,Discraft Roach
10/26/2020 19:51:41,Innova Destroyer,Prodigy M2/M3 Proto,Gateway Warlock
10/26/2020 19:56:35,Dismania PD,Innova Dx roc,Discmania P2
10/26/2020 20:03:14,Innova TeeBird,Innova coyote,Innova aviar
10/26/2020 20:07:08,Dynamic Discs Renegade,Sling,Warden
10/26/2020 20:16:47,Innova Shryke,Roc,Aviar
10/26/2020 20:21:34,Innova Wraith,Discmania md3,Gateway wizard
10/26/2020 20:23:39,Innova Thunderbird,Lion,Keystone
10/26/2020 20:24:47,Innova Sidewinder,Roc,soft magnet
10/26/2020 20:39:23,Discraft Surge SS,Champion Roc3,Madrone
10/26/2020 20:46:34,Innova TL3,Drone,Wizzard
10/26/2020 21:05:31,Innova Destroyer,Discraft Buzz,DX aviar
10/26/2020 21:15:25,Teebird,Buzzz,Dart
10/26/2020 21:16:17,Latitutde 64 River,Bounty,Pure
10/26/2020 21:16:28,Innova Wraith,Discraft Buzzz 167 g,Dynamic Discs Warden classic soft
10/26/2020 21:22:38,Innova Wraith,Champion Roc3,"C1 Nova, outside C1 Atom"
10/26/2020 21:29:37,Innova Shryke,Innova DX Roc,Aviar JK Putt & Approach
10/26/2020 21:31:01,MVP Fission Wave,Discraft Buzzz,MVP Entropy
10/26/2020 21:31:05,Dynamic Discs Renegade,Truth,Maiden
10/26/2020 21:43:44,Innova Tern,Roc,Voodoo
10/26/2020 21:52:41,Prodigy D2,Prodigy M4,Prodigy PA-3
10/26/2020 21:56:20,Discraft Avenger,Buzz,Wizard
10/26/2020 21:56:54,Prodigy D3,M3 prodigy disc,Pa1 prodigy disc
10/26/2020 21:59:26,Discmania DD3,Discmania md4,Discmania p2
10/26/2020 22:19:54,Prodigy H4,Buzz,Axiom
10/26/2020 22:27:09,Axiom Wave,Matrix,Particle or pilot...equally
10/26/2020 22:34:17,RPM Kahu,DGA Quake,Prodiscus Jokeri
10/26/2020 23:05:39,Discraft Avenger SS,"Discraft Buzzz, ESP Flx",DGA Steady Ed
10/26/2020 23:08:24,Discmania Enigma,Roc,P2
10/26/2020 23:13:37,Innova Roadrunner,Roc3,Yeti Avair
10/26/2020 23:19:45,Vibram Lace,Vibram.   Launch,Vibram.   Ridge
10/26/2020 23:31:18,Innova TeeBird,Innova DX Roc,Innova DX Aviar Putt & Approach
10/26/2020 23:46:47,Innova Wraith,Roc,Wizard
10/26/2020 23:54:44,Innova Boss,Discmania Metal flake md5,Mvp atom
10/27/2020 0:17:23,DGA Pipeline,Innova Kc pro Roc,Gateway Wizard
10/27/2020 0:46:55,Innova Eagle,Meteor,Aviar
10/27/2020 1:17:12,Innova Archon,Malta,Lat 64 pure
10/27/2020 1:22:41,Discraft Hades,Roc3,Wizard
10/27/2020 1:23:50,Innova Destroyer,Roc,Aviar
10/27/2020 1:34:36,MVP Wave,MVP Matrix,Streamline Pilot
10/27/2020 1:47:15,Latitude 64 XXX,Buzzz,PA4
10/27/2020 2:32:31,Lots Kastaplast,Kaxe Z from Kastaplast,Berg from Kastaplast
10/27/2020 3:29:03,Latitude 64 Ballista Pro,Dynamic Discs Justice,Westside Shield
10/27/2020 3:59:58,Discraft Thrasher,Buzz os,P2
10/27/2020 4:39:36,Prodigy D1,M3 proto prodigy and m4 500 plastic,P model ace line prodigy
10/27/2020 4:40:01,Mvp orbital,Disccraft buzz,Dd warden
10/27/2020 5:25:31,Innova Innova Innova Destroyer,Innova Roc3,Latitude 64 Pure
